term,weight
хороший_ADJF камера_NOUN,1.0
большой_ADJF экран_NOUN,0.9489681186244735
яркий_ADJF экран_NOUN,0.7198211014031993
очень_ADVB хороший_ADJF,0.6639324674488749
хороший_ADJF звук_NOUN,0.6539066589196368
отличный_ADJF камера_NOUN,0.6378851635459788
хороший_ADJF экран_NOUN,0.5784928607940202
внешний_ADJF вид_NOUN,0.5550584367235234
экран_NOUN хороший_ADJF,0.4340038724536082
отличный_ADJF экран_NOUN,0.4147161607789337
неплохой_ADJF камера_NOUN,0.38936218149507207
громкий_ADJF динамик_NOUN,0.3841116189321269
хороший_ADJF качество_NOUN,0.38285002504053917
отличный_ADJF звук_NOUN,0.3597131107779705
очень_ADVB удобный_ADJF,0.3345552932849176
отличный_ADJF телефон_NOUN,0.31009810693651113
камера_NOUN отличный_ADJF,0.3070250955524545
громкий_ADJF звук_NOUN,0.29706347865904914
удобный_ADJF использование_NOUN,0.29241708218764206
удобный_ADJF интерфейс_NOUN,0.2805915388365366
отличный_ADJF качество_NOUN,0.27226884608580043
удобный_ADJF меню_NOUN,0.27076329871792
камера_NOUN хороший_ADJF,0.26878870398808546
красивый_ADJF дизайн_NOUN,0.26094821469213114
хороший_ADJF телефон_NOUN,0.2489637329577434
экран_NOUN отличный_ADJF,0.2444986983705132
мощный_ADJF процессор_NOUN,0.23510220625306685
хороший_ADJF сенсор_NOUN,0.23463083117049288
очень_ADVB шустрый_ADJF,0.2236569404464439
звук_NOUN отличный_ADJF,0.21707350544684198
отличный_ADJF дизайн_NOUN,0.21378190820707269
яркий_ADJF дисплей_NOUN,0.21319727018303322
звук_NOUN хороший_ADJF,0.20703255177975455
качественный_ADJF звук_NOUN,0.20119207516418647
качественный_ADJF сборка_NOUN,0.1973251244913872
телефон_NOUN хороший_ADJF,0.19702106379765796
громкий_ADJF динамика_NOUN,0.19517524279246815
очень_ADVB громкий_ADJF,0.1914405481243896
качественный_ADJF экран_NOUN,0.1677079633100223
чёткий_ADJF экран_NOUN,0.16560419318616224
стильный_ADJF дизайн_NOUN,0.16231989470474256
большой_ADJF дисплей_NOUN,0.15754473300983324
экран_NOUN яркий_ADJF,0.15329054695118816
приятный_ADJF ощупь_NOUN,0.15329054695118816
очень_ADVB быстрый_ADJF,0.15270020230300171
хороший_ADJF дизайн_NOUN,0.15246894523835008
приятный_ADJF дизайн_NOUN,0.1512567895085807
дизайн_NOUN хороший_ADJF,0.14796679510147387
очень_ADVB яркий_ADJF,0.1365228428250893
хороший_ADJF наушник_NOUN,0.13335080792172532
хороший_ADJF дисплей_NOUN,0.1327772681364505
достаточно_ADVB громкий_ADJF,0.13151802467090942
один_ADJF удовольствие_NOUN,0.13018273419849424
адекватный_ADJF цена_NOUN,0.1282285108853105
телефон_NOUN отличный_ADJF,0.12817650248295837
очень_ADVB полезный_ADJF,0.1249390771930569
хороший_ADJF динамик_NOUN,0.11836045007688521
экран_NOUN удобный_ADJF,0.11515799330220372
мощный_ADJF железо_NOUN,0.11515799330220372
шустрый_ADJF процессор_NOUN,0.11507125664711727
довольно_ADVB шустрый_ADJF,0.11178214329899493
быстрый_ADJF процессор_NOUN,0.10982658778795061
чистый_ADJF звук_NOUN,0.10849311002959361
очень_ADVB приятный_ADJF,0.10807450068590808
тонкий_ADJF корпус_NOUN,0.10655057800779247
дизайн_NOUN удобный_ADJF,0.1052041568359889
отличный_ADJF сенсор_NOUN,0.1052041568359889
дисплей_NOUN хороший_ADJF,0.1052041568359889
низкий_ADJF цена_NOUN,0.10216878753430406
камера_NOUN удобный_ADJF,0.10216878753430406
очень_ADVB качественный_ADJF,0.10200854305615546
высокий_ADJF качество_NOUN,0.10166020755241115
очень_ADVB довольный_ADJF,0.10116807077489594
рука_NOUN хороший_ADJF,0.09862649066447222
отличный_ADJF дисплей_NOUN,0.09862649066447222
хороший_ADJF комплектация_NOUN,0.09672767171245722
камера_NOUN супер_ADJF,0.09672767171245722
отзывчивый_ADJF сенсор_NOUN,0.09533777768071215
чувствительный_ADJF сенсор_NOUN,0.09414062395163714
хороший_ADJF батарея_NOUN,0.09345531175868423
быстрый_ADJF интернет_NOUN,0.09245158055797896
всякий_ADJF похвала_NOUN,0.09204914476105235
звук_NOUN удобный_ADJF,0.09204914476105235
высокий_ADJF уровень_NOUN,0.08900352713711099
понятный_ADJF меню_NOUN,0.08876059190256912
яркий_ADJF цвет_NOUN,0.08691402240328415
очень_ADVB красивый_ADJF,0.08569967963763366
интуитивно_ADVB понятный_ADJF,0.08569967963763366
громкий_ADJF звонок_NOUN,0.0854721191023389
удобный_ADJF размер_NOUN,0.0854721191023389
огромный_ADJF количество_NOUN,0.08380676998263116
удобный_ADJF рука_NOUN,0.0836453056852456
высокий_ADJF производительность_NOUN,0.0836453056852456
хороший_ADJF аккумулятор_NOUN,0.08276155687565583
хороший_ADJF сборка_NOUN,0.08276155687565583
камера_NOUN неплохой_ADJF,0.08274570774876823
цена_NOUN хороший_ADJF,0.08218372635743826
никакой_ADJF тормоз_NOUN,0.08218372635743826
экран_NOUN чёткий_ADJF,0.08037804050976896
экран_NOUN супер_ADJF,0.08037804050976896
главный_ADJF достоинство_NOUN,0.07889541366494388
выше_ADVB всякий_ADJF,0.07889541366494388
оптимальный_ADJF размер_NOUN,0.07889541366494388
дисплей_NOUN отличный_ADJF,0.07889541366494388
сенсорный_ADJF экран_NOUN,0.07732350618390452
отличный_ADJF модель_NOUN,0.07711237381823347
удобный_ADJF управление_NOUN,0.07711237381823347
динамик_NOUN хороший_ADJF,0.07632031823813944
сочный_ADJF экран_NOUN,0.07560718102193262
отличный_ADJF сборка_NOUN,0.07560718102193262
мощный_ADJF начинка_NOUN,0.07310639909572876
экран_NOUN громкий_ADJF,0.07231902842548148
хороший_ADJF динамика_NOUN,0.07231902842548148
приличный_ADJF камера_NOUN,0.07231902842548148
экран_NOUN качественный_ADJF,0.07231902842548148
хороший_ADJF разрешение_NOUN,0.07231902842548148
свой_ADJF деньга_NOUN,0.07133247537492393
динамик_NOUN громкий_ADJF,0.06988379878859059
неплохой_ADJF экран_NOUN,0.0690309558726676
сенсор_NOUN хороший_ADJF,0.0690309558726676
